Seg,Point,ID,Tag No.,Type,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalDX,GlobalDY,GlobalDZ,GlobalDR,LocalDir1,Force1,Disp1,Gap1,LocalDir2,Force2,Disp2,Gap2,LocalDir3,Force3,Disp3,Gap3,Stiffness,Friction,ColdLoad,CoordX,CoordY,CoordZ
B,B45,B45  1,,Shoe,OPERATING,6,80,-266,0,278,0.126,0,-0.012,0.127,down,266,0,0,#NAME?,0,0.012,0,#NAME?,80,0.126,0,10000000000,0.3,0,276.48,13.14,-350.43
B,B46,B46  1,,Guide,COLD,6,0,-118,0,118,0.022,0,-0.013,0.026,down,118,0,0,left,0,0.013,0.06,forw,0,0.022,0,10000000000,0.3,0,281.7,13.14,-350.43
B,B46,B46  1,,Guide,OPERATING,6,36,-118,-1,123,0.117,0,-0.014,0.118,down,118,0,0,left,1,0.014,0.06,forw,36,0.117,0,10000000000,0.3,0,281.7,13.14,-350.43
B,B47,B47  1,,Shoe,COLD,6,0,-219,0,219,0.022,0,-0.015,0.027,down,219,0,0,#NAME?,0,0.015,0,#NAME?,0,0.022,0,10000000000,0.3,0,289.7,13.14,-350.43
B,B47,B47  1,,Shoe,OPERATING,6,66,-219,-2,229,0.103,0,-0.018,0.105,down,219,0,0,#NAME?,2,0.018,0,#NAME?,66,0.103,0,10000000000,0.3,0,289.7,13.14,-350.43
B,B48,B48  1,,Guide,COLD,6,0,-205,0,205,0.022,0,-0.017,0.028,down,205,0,0,left,0,0.017,0.06,forw,0,0.022,0,10000000000,0.3,0,297.7,13.14,-350.43
B,B48,B48  1,,Guide,OPERATING,6,62,-205,-2,214,0.089,0,-0.02,0.092,down,205,0,0,left,2,0.02,0.06,forw,62,0.089,0,10000000000,0.3,0,297.7,13.14,-350.43
B,B49,B49  1,,Shoe,COLD,6,0,-190,0,190,0.022,0,-0.019,0.029,down,190,0,0,#NAME?,0,0.019,0,#NAME?,0,0.022,0,10000000000,0.3,0,305.7,13.14,-350.43
B,B49,B49  1,,Shoe,OPERATING,6,58,-191,7,199,0.076,0,-0.013,0.077,down,191,0,0,#NAME?,7,-0.013,0,#NAME?,58,0.076,0,10000000000,0.3,0,305.7,13.14,-350.43
B,B50,B50  1,,Guide,COLD,6,0,-175,0,175,0.022,0,-0.02,0.03,down,175,0,0,left,0,0.02,0.06,forw,0,0.022,0,10000000000,0.3,0,312.5,13.14,-350.43
B,B50,B50  1,,Guide,OPERATING,6,45,-175,29,183,0.064,0,0.007,0.065,down,175,0,0,rght,29,0.007,0.06,forw,45,0.064,0,10000000000,0.3,0,312.5,13.14,-350.43
B,B51,B51  1,,Shoe,COLD,6,0,-213,0,213,0.022,0,-0.022,0.031,down,213,0,0,#NAME?,0,0.022,0,#NAME?,0,0.022,0,10000000000,0.3,0,319.59,13.14,-350.43
B,B51,B51  1,,Shoe,OPERATING,6,31,-217,57,226,0.052,0,0.033,0.062,down,217,0,0,#NAME?,57,0.033,0,#NAME?,31,0.052,0,10000000000,0.3,0,319.59,13.14,-350.43
B,B53,B53  1,,Guide,COLD,6,0,-27,0,27,0.022,0,-0.022,0.032,down,27,0,0,left,0,0.022,0.06,forw,0,0.022,0,10000000000,0.3,0,322.73,13.14,-350.43
B,B53,B53  1,,Guide,OPERATING,6,3,-28,8,29,0.047,0,0.037,0.06,down,28,0,0,rght,8,0.037,0.06,forw,3,0.047,0,10000000000,0.3,0,322.73,13.14,-350.43
B,B56,B56  1,,Shoe,COLD,4,0,-110,0,110,0.022,0,-0.024,0.033,down,110,0,0,#NAME?,0,0.024,0,#NAME?,0,0.022,0,10000000000,0.3,0,325.36,13.06,-350.43
B,B56,B56  1,,Shoe,OPERATING,4,10,-87,25,91,0.043,0,0.029,0.052,down,87,0,0,#NAME?,25,0.029,0,#NAME?,10,0.043,0,10000000000,0.3,0,325.36,13.06,-350.43
B,B57,B57  1,,Guide,COLD,4,0,-112,0,112,0.022,0,-0.026,0.034,down,112,0,0,left,0,0.026,0.06,forw,0,0.022,0,10000000000,0.3,0,334.09,13.06,-350.43
B,B57,B57  1,,Guide,OPERATING,4,28,-113,26,120,0.028,0,-0.021,0.035,down,113,0,0,rght,26,-0.021,0.06,forw,28,0.028,0,10000000000,0.3,0,334.09,13.06,-350.43
B,B58,B58  1,,Shoe,COLD,4,0,-101,0,101,0.022,0,-0.028,0.036,down,101,0,0,#NAME?,0,0.028,0,#NAME?,0,0.022,0,10000000000,0.3,0,341.36,13.06,-350.43
B,B58,B58  1,,Shoe,OPERATING,4,-25,-100,-9,104,0.017,0,-0.03,0.035,down,100,0,0,#NAME?,9,0.03,0,#NAME?,25,-0.017,0,10000000000,0.3,0,341.36,13.06,-350.43
B,B59,B59  1,,Guide,COLD,4,0,-111,0,111,0.022,0,-0.031,0.038,down,111,0,0,left,0,0.031,0.06,forw,0,0.022,0,10000000000,0.3,0,349.36,13.06,-350.43
