Seg,Point,Type,Tag No.,Combination,Nominal,GlobalFX,GlobalFY,GlobalFZ,GlobalFR,GlobalMX,GlobalMY,GlobalMZ,GlobalRM,LocalFX,LocalFY,LocalFZ,LocalMX,LocalMY,LocalMZ,CoordX,CoordY,CoordZ
AP,AP00,Anchor,EQUIPMENT,OPERATING,0,0,-1,1,1,6,0,-5,8,-1,1,0,0,-5,6,-744.71,24.69,56.08
AQ,AQ08,Anchor,EQUIPMENT,COLD,4,1,0,-2,2,0,1,0,1,2,0,0,0,1,0,-706.71,28.27,-100.67
AQ,AQ08,Anchor,EQUIPMENT,OPERATING,4,-5,1,5,8,0,-13,3,13,-7,1,-3,-3,-13,1,-706.71,28.27,-100.67
AR,AR08,Anchor,EQUIPMENT,COLD,4,1,0,-1,2,0,1,0,2,2,0,0,0,1,0,-707.52,28.27,-101
AR,AR08,Anchor,EQUIPMENT,OPERATING,4,-8,1,6,10,0,-19,4,19,-8,1,-5,-4,-19,1,-707.52,28.27,-101
AS,AS06,Anchor,EQUIPMENT,COLD,2.5,3,-29,-5,30,-3,-1,-4,5,29,-5,-3,1,-4,3,-711.28,20.3,62.43
AS,AS06,Anchor,EQUIPMENT,OPERATING,2.5,5,-14,-9,18,-20,1,-15,25,14,-9,-5,-1,-15,20,-711.28,20.3,62.43
AT,AT06,Anchor,EQUIPMENT,COLD,2.5,3,-29,-6,30,-4,-1,-5,7,29,-6,-3,1,-5,4,-710.59,20.3,62.72
AT,AT06,Anchor,EQUIPMENT,OPERATING,2.5,4,-15,-9,18,-22,1,-14,26,15,-9,-4,-1,-14,22,-710.59,20.3,62.72
AU,AU00,Anchor,EQUIPMENT,COLD,0,0,-17,1,17,6,2,-6,9,-17,1,0,2,-6,6,-723.94,24.69,63.97
AU,AU00,Anchor,EQUIPMENT,OPERATING,0,0,-13,0,13,0,1,-10,10,-13,0,0,1,-10,0,-723.94,24.69,63.97
AV,AV07,Anchor,EQUIPMENT,COLD,5,-1,-1,3,4,-2,1,-1,2,1,3,1,-1,-1,2,-772.68,21.77,-135.46
AV,AV07,Anchor,EQUIPMENT,OPERATING,5,-8,11,20,24,18,3,6,20,-11,20,8,-3,6,-18,-772.68,21.77,-135.46
AW,AW07,Anchor,EQUIPMENT,COLD,2.5,-3,-10,-1,10,6,-4,-1,7,10,-1,3,4,-1,-6,-628.23,21.89,-55.5
AW,AW07,Anchor,EQUIPMENT,OPERATING,2.5,-13,6,-1,14,6,-9,38,40,-6,-1,13,9,38,-6,-628.23,21.89,-55.5
AX,AX07,Anchor,EQUIPMENT,COLD,2.5,-3,-7,0,7,4,-1,0,5,7,0,3,1,0,-4,-627.95,21.89,-56.19
AX,AX07,Anchor,EQUIPMENT,OPERATING,2.5,-14,10,-2,18,-1,-7,46,47,-10,-2,14,7,46,1,-627.95,21.89,-56.19
AZ,AZ10,Anchor,EQUIPMENT,COLD,2.5,-1,-95,-4,95,11,-5,-7,14,95,-4,1,5,-7,-11,-798.02,20.07,32.4
AZ,AZ10,Anchor,EQUIPMENT,OPERATING,2.5,1,-98,2,98,35,-1,-9,36,98,2,-1,1,-9,-35,-798.02,20.07,32.4
